Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (fileDefaultPackage) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerDefaultPackage) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (fileNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (fileNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (fileNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerNestedClasses) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerPassesOriginatingElements) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerPassesOriginatingElements) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,FileWritingTest,Law of Demeter violation,The tool detected the smell in this method (filerClassesWithTabIndent) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.writeTo; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (importStaticForCrazyFormatsWorks) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (importStaticNone) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (importStaticOnce) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
